Total_Stops,Day_of_journey,month_of_journey,Arrival_hour,Arrival_min,Dep_hour,Dep_min,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Duration_hours,Duration_mins
1,6,12,18,15,8,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,50
1,4,1,23,35,18,55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,40
1,18,5,4,25,20,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,30
0,24,5,8,30,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,25
1,6,6,1,30,18,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,30
1,3,9,7,10,2,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,5
1,6,9,23,15,19,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,40
1,27,6,1,30,17,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0
0,27,5,8,35,5,55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,40
3,24,3,23,15,5,55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,20
2,6,1,19,15,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,15
2,18,5,19,0,23,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,55
0,15,3,10,40,7,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55
0,15,5,8,50,5,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,15
2,27,3,19,15,21,30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,45
2,5,1,19,0,23,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,55
1,5,9,9,45,9,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,10
1,27,6,19,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,0
0,5,12,17,5,14,45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,20
2,15,6,9,25,9,45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,40
2,5,1,21,50,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,50
0,5,12,6,50,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,50
1,6,6,19,0,17,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,30
1,21,5,19,0,11,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,30
1,3,3,10,25,6,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27,45
1,6,9,9,45,20,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,20
1,3,9,12,20,5,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,30
1,3,6,19,15,11,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,45
1,24,3,18,10,21,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0
1,15,5,19,50,8,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,25
1,5,6,8,15,21,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,5
0,27,4,8,50,5,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,15
1,5,1,9,20,21,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,10
1,21,5,19,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0
2,21,5,23,15,8,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,55
2,21,5,4,25,9,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,45
0,3,3,4,0,2,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,30
1,4,1,19,50,14,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,45
1,15,6,19,0,20,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,5
0,21,5,12,15,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,30
0,18,5,19,40,17,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,30
1,18,5,22,30,8,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,55
2,6,9,1,30,17,50,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,40
2,5,6,19,0,19,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,50
2,27,3,18,50,5,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,25
1,3,6,18,50,9,55,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,55
1,24,3,16,20,19,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,35
